,省,市,确认,死亡,治愈
0,湖北,武汉,10117,414,459
1,湖北,孝感,1886,25,9
2,湖北,黄冈,1807,29,64
3,湖北,随州,834,9,9
4,湖北,荆州,801,10,18
5,湖北,襄阳,787,2,25
6,湖北,黄石,566,2,25
7,湖北,宜昌,563,6,9
8,湖北,荆门,508,17,21
9,湖北,鄂州,423,18,8
10,湖北,咸宁,399,1,3
11,湖北,十堰,353,0,14
12,湖北,仙桃,265,5,0
13,湖北,恩施州,144,0,10
14,湖北,天门,138,10,1
15,湖北,潜江,64,1,0
16,湖北,神农架,10,0,2
17,湖北,地区待确认,0,0,3
18,广东,深圳,316,0,22
19,广东,广州,270,0,3
20,广东,珠海,73,0,4
21,广东,佛山,57,0,4
22,广东,东莞,47,0,1
23,广东,中山,44,0,3
24,广东,惠州,35,0,1
25,广东,汕头,21,0,3
26,广东,湛江,19,0,1
27,广东,肇庆,14,0,1
28,广东,阳江,13,0,0
29,广东,梅州,12,0,0
30,广东,清远,10,0,2
31,广东,江门,9,0,1
32,广东,揭阳,7,0,0
33,广东,茂名,6,0,0
34,广东,韶关,6,0,1
35,广东,潮州,5,0,0
36,广东,汕尾,5,0,0
37,广东,河源,1,0,0
38,广东,地区待确认,0,0,12
39,浙江,温州,396,0,36
40,浙江,杭州,151,0,15
41,浙江,宁波,126,0,9
42,浙江,台州,124,0,14
43,浙江,金华,47,0,9
44,浙江,绍兴,33,0,3
45,浙江,嘉兴,30,0,1
46,浙江,丽水,16,0,3
47,浙江,衢州,15,0,2
48,浙江,湖州,9,0,1
49,浙江,舟山,7,0,4
50,河南,信阳,164,0,6
51,河南,南阳,111,2,1
52,河南,郑州,102,0,28
53,河南,驻马店,98,0,2
54,河南,商丘,65,0,3
55,河南,周口,59,0,1
56,河南,平顶山,41,0,0
57,河南,新乡,41,0,2
58,河南,安阳,37,0,1
59,河南,漯河,26,0,0
60,河南,许昌,26,0,0
61,河南,洛阳,21,0,1
62,河南,开封,18,0,0
63,河南,焦作,17,0,0
64,河南,鹤壁,10,0,0
65,河南,三门峡,7,0,2
66,河南,濮阳,5,0,0
67,河南,济源示范区,3,0,0
68,河南,地区待确认,0,0,16
69,湖南,长沙,179,0,10
70,湖南,岳阳,93,0,2
71,湖南,邵阳,74,0,3
72,湖南,常德,62,0,14
73,湖南,娄底,51,0,3
